Soil Moisture,Temperature, Soil Humidity,Time,Air temperature (C),Wind speed (Km/h),Air humidity (%),Wind gust (Km/h),Pressure (KPa),ph,rainfall,N,P,K,Status
42,17,20,95,25.94,9.38,49.29,52.57,101.26,,,,,,OFF
78,13,61,41,26.59,10.63,46.62,57.14,101.26,,,,,,OFF
46,31,38,33,26.82,10.48,45.12,56.48,101.27,,,,,,ON
4,35,27,2,27.05,10.32,43.63,55.81,101.28,,,,,,ON
46,45,41,72,27.4,11.3,42.9,54.57,101.29,,,,,,ON
37,43,23,48,27.74,12.28,42.16,53.33,101.3,,,,,,ON
31,27,67,19,28.04,11.48,41.48,55.94,101.3,,,,,,ON
44,45,57,71,28.35,10.67,40.8,58.54,101.3,,,,,,ON
40,14,32,76,28.66,11.1,39.7,62.6,101.31,,,,,,ON
18,27,23,44,28.97,11.53,38.61,66.67,101.32,,,,,,ON
80,1,27,76,29.37,11.35,37.6,65.21,101.32,,,,,,OFF
21,43,38,43,29.77,11.17,36.59,63.75,101.32,,,,,,ON
78,29,48,68,30.17,10.98,35.58,62.29,101.33,,,,,,ON
24,27,33,82,30.57,10.8,34.57,60.84,101.33,,,,,,ON
50,43,41,72,30.98,10.62,33.56,59.38,101.33,,,,,,ON
51,6,23,0,31.38,10.44,32.54,57.92,101.34,,,,,,OFF
50,0,51,72,31.78,10.26,31.53,56.46,101.34,,,,,,OFF
44,0,59,37,32.18,10.07,30.52,55,101.34,,,,,,OFF
10,24,39,55,32.58,9.89,29.51,53.54,101.34,,,,,,ON
38,45,40,90,32.98,9.71,28.5,52.08,101.34,,,,,,ON
21,21,70,89,33.38,9.53,27.49,50.63,101.35,,,,,,ON
3,14,56,60,33.78,9.35,26.48,49.17,101.35,,,,,,ON
6,39,31,19,34.18,9.16,25.47,47.71,101.35,,,,,,ON
48,5,50,39,34.58,8.98,24.46,46.25,101.36,,,,,,ON
29,9,32,90,34.98,8.8,23.44,44.79,101.36,,,,,,ON
34,13,49,39,35.39,8.62,22.43,43.33,101.36,,,,,,ON
59,42,46,71,35.79,8.44,21.42,41.88,101.36,,,,,,ON
65,17,53,67,36.19,8.25,20.41,40.42,101.36,,,,,,OFF
25,25,31,50,36.59,8.07,19.4,38.96,101.37,,,,,,OFF
47,15,42,37,36.99,7.89,18.39,37.5,101.37,,,,,,ON
75,21,55,107,37.04,7.94,18.44,39.44,101.36,,,,,,OFF
89,41,53,13,37.1,7.98,18.5,41.38,101.35,,,,,,OFF
5,24,65,10,37.58,7.94,17.51,31.5,101.34,,,,,,ON
70,43,44,110,38.05,7.89,16.51,21.62,101.34,,,,,,OFF
5,7,26,20,37.88,8.8,16.58,24.93,101.34,,,,,,ON
28,45,25,50,37.72,9.7,16.64,28.24,101.34,,,,,,ON
70,30,28,88,37.72,9.74,16.27,25.03,101.34,,,,,,ON
82,30,50,24,37.73,9.78,15.91,21.82,101.34,,,,,,OFF
7,41,21,25,38.06,9.4,15.44,22.79,101.34,,,,,,ON
90,39,50,58,38.38,9.02,14.97,23.76,101.34,,,,,,ON
44,39,47,98,38.45,9.7,14.21,24.65,101.34,,,,,,OFF
4,17,30,10,38.52,10.38,13.45,25.53,101.33,,,,,,ON
32,10,70,51,38.17,10.87,13.94,27.4,101.32,,,,,,ON
3,33,55,39,37.83,11.36,14.44,29.27,101.32,,,,,,ON
87,3,55,12,38.38,10.09,14.5,24.31,101.32,,,,,,OFF
35,16,45,24,38.93,8.81,14.56,19.35,101.31,,,,,,OFF
32,28,61,55,39.02,9.74,14.02,21,101.3,,,,,,OFF
46,19,27,80,39.12,10.67,13.48,22.64,101.3,,,,,,OFF
64,11,59,96,38.2,10.02,14.26,22.97,101.3,,,,,,OFF
84,43,24,104,37.29,9.37,15.03,23.3,101.29,,,,,,OFF
71,17,52,11,38.32,9.44,14.02,22.86,101.29,,,,,,OFF
83,23,34,13,39.34,9.52,13.02,22.43,101.29,,,,,,OFF
81,9,68,73,38.89,9.58,12.8,23.98,101.29,,,,,,ON
73,4,38,86,38.44,9.64,12.59,25.53,101.29,,,,,,OFF
20,30,54,25,37.76,9.23,13.28,25.01,101.28,,,,,,ON
35,14,29,86,37.08,8.82,13.96,24.49,101.27,,,,,,OFF
1,7,25,90,37.04,9.39,13.86,22.96,101.26,,,,,,ON
63,5,52,3,37.01,9.96,13.77,21.43,101.26,,,,,,OFF
19,31,57,33,37.42,9.05,13.58,29.46,101.26,,,,,,ON
5,5,39,71,37.84,8.14,13.4,37.5,101.25,,,,,,ON
21,13,30,108,38.22,8.65,12.75,29.46,101.24,,,,,,OFF
12,33,20,12,38.59,9.16,12.1,21.43,101.23,,,,,,ON
49,3,33,97,37.78,9.09,12.88,32.53,101.22,,,,,,OFF
84,21,43,69,36.97,9.02,13.65,43.64,101.21,,,,,,ON
39,27,43,83,36.84,9.13,13.46,32.63,101.2,,,,,,ON
47,14,47,3,36.71,9.24,13.26,21.62,101.19,,,,,,ON
67,45,58,29,36.85,9.46,13,38.72,101.19,,,,,,OFF
74,4,30,76,36.99,9.68,12.74,55.81,101.19,,,,,,OFF
19,42,20,76,37.36,8.66,12.02,39.67,101.18,,,,,,ON
19,22,21,91,37.74,7.64,11.3,23.53,101.17,,,,,,OFF
19,28,43,60,38.14,8.73,10.66,36.76,101.16,,,,,,ON
41,13,33,69,38.53,9.82,10.01,50,101.16,,,,,,ON
75,39,38,33,38.37,9.28,10,46.82,101.15,,,,,,OFF
15,27,21,34,38.21,8.75,10,43.64,101.14,,,,,,ON
48,7,34,42,38.02,7.78,10.49,37.4,101.14,,,,,,ON
83,18,33,17,37.83,6.81,10.98,31.17,101.13,,,,,,OFF
35,12,52,99,37.26,8.94,11.42,37.02,101.12,,,,,,OFF
56,30,34,55,36.69,11.08,11.87,42.86,101.12,,,,,,ON
29,7,47,101,36.83,10.43,11.77,42.86,101.11,,,,,,OFF
59,0,40,98,36.98,9.79,11.67,42.86,101.1,,,,,,OFF
40,9,22,21,37.4,8.49,11.58,29.76,101.1,,,,,,ON
72,29,23,65,37.82,7.2,11.48,16.67,101.09,,,,,,ON
83,16,67,104,39.7,8.29,10.49,21.62,101.09,,,,,,OFF
83,18,26,110,39.22,8.3,10.77,20.49,101.08,,,,,,OFF
80,3,29,104,38.75,8.32,11.05,19.35,101.07,,,,,,OFF
9,7,31,28,38.61,7.51,11.24,18.24,101.07,,,,,,ON
26,35,48,67,38.47,6.7,11.44,17.14,101.07,,,,,,ON
12,39,32,98,38.62,7.54,11.34,18.57,101.06,,,,,,OFF
28,20,49,57,38.78,8.39,11.24,20,101.05,,,,,,ON
53,7,20,1,38.56,7.69,11.32,21.32,101.04,,,,,,OFF
78,34,52,84,38.35,6.99,11.41,22.64,101.03,,,,,,ON
3,12,33,74,37.92,7.61,12.74,23.08,101.03,,,,,,ON
5,37,58,25,37.48,8.23,14.07,23.53,101.03,,,,,,ON
90,7,40,79,36.89,7.66,19.11,34.4,101.04,,,,,,OFF
56,4,29,40,36.3,7.08,24.15,45.28,101.04,,,,,,OFF
88,43,60,91,35.48,8.62,25,47.64,101.03,,,,,,OFF
6,25,50,89,34.66,10.17,25.86,50,101.02,,,,,,ON
4,20,25,47,34.65,9.98,26.22,47.64,101.02,,,,,,ON
41,20,58,104,34.64,9.78,26.57,45.28,101.01,,,,,,OFF
85,20,66,66,34.64,9.78,25.88,38.43,101.01,,,,,,ON
9,23,68,52,34.64,9.78,25.18,31.58,101.01,,,,,,ON
63,13,28,107,34.26,10.93,24.46,46.56,101.01,,,,,,OFF
49,33,52,74,33.89,12.08,23.75,61.54,101.01,,,,,,ON
43,41,56,69,33.48,11.18,24.36,58.04,101.01,,,,,,ON
14,0,70,25,33.08,10.27,24.97,54.55,101.01,,,,,,OFF
30,41,38,78,33.23,9.93,23.62,50.8,101.02,,,,,,ON
14,4,43,24,33.38,9.58,22.27,47.06,101.02,,,,,,ON
12,13,31,90,32.97,9.59,22.19,49.62,101.02,,,,,,ON
25,40,30,82,32.56,9.61,22.11,52.17,101.01,,,,,,ON
71,20,28,57,32.15,8.4,22.73,51.08,101.01,,,,,,OFF
9,14,69,67,31.74,7.2,23.35,50,101.01,,,,,,ON
25,14,50,102,31.69,6.6,24.49,36.76,101,,,,,,OFF
50,9,55,34,31.64,6,25.63,23.53,100.99,,,,,,ON
10,35,28,105,31.68,6.87,26.89,23.65,100.99,,,,,,OFF
90,26,53,44,31.73,7.74,28.15,23.76,100.99,,,,,,ON
15,24,59,88,31.48,7.68,27.59,21.64,100.99,,,,,,ON
44,43,34,93,31.22,7.62,27.02,19.52,101,,,,,,OFF
79,42,35,83,30.96,7.56,26.46,17.41,101,,,,,,ON
6,3,31,79,30.71,7.5,25.9,15.29,101,,,,,,ON
87,42,58,100,30.48,7.84,26.23,16.38,101,,,,,,OFF
47,23,41,32,30.24,8.19,26.56,17.48,101,,,,,,ON
18,32,62,69,30,8.54,26.89,18.58,101.01,,,,,,ON
34,0,47,31,29.77,8.88,27.22,19.67,101.01,,,,,,OFF
22,17,42,94,29.5,8.64,27.98,31.66,101.02,,,,,,OFF
1,22,43,5,29.24,8.41,28.74,43.64,101.03,,,,,,ON
17,0,47,65,28.96,8.7,28.84,30.98,101.04,,,,,,ON
3,27,46,79,28.69,8.99,28.93,18.32,101.04,,,,,,ON
78,4,21,49,28.3,8.22,29.7,29.16,101.04,,,,,,OFF
69,26,39,107,27.9,7.46,30.48,40,101.05,,,,,,OFF
73,2,39,22,27.52,7.36,31.71,27.6,101.06,,,,,,OFF
33,14,53,18,27.13,7.25,32.94,15.19,101.06,,,,,,ON
45,10,20,45,26.8,6.62,33.97,13.56,101.06,,,,,,OFF
51,38,67,87,26.46,5.98,35,11.94,101.06,,,,,,ON
60,14,25,5,26.17,5.13,35.86,12.82,101.07,,,,,,ON
31,18,56,97,25.88,4.28,36.73,13.71,101.08,,,,,,OFF
36,43,20,55,25.62,3.99,37.48,10.15,101.09,,,,,,ON
67,25,38,72,25.36,3.7,38.23,6.59,101.1,,,,,,ON
68,10,49,61,25.14,3.22,39.09,9.12,101.11,,,,,,OFF
1,0,58,91,24.91,2.74,39.95,11.65,101.12,,,,,,OFF
39,14,45,33,24.69,2.68,40.53,12.08,101.12,,,,,,ON
46,21,67,28,24.47,2.63,41.12,12.5,101.13,,,,,,ON
66,12,53,14,24.3,2.36,41.83,11.73,101.12,,,,,,OFF
24,44,31,20,24.13,2.08,42.54,10.96,101.12,,,,,,ON
4,44,56,104,23.85,1.58,43.08,9.08,101.12,,,,,,OFF
11,31,28,107,23.58,1.07,43.61,7.19,101.13,,,,,,OFF
45,29,65,103,23.36,0.86,43.66,7.82,101.14,,,,,,OFF
69,32,25,10,23.14,0.65,43.71,8.45,101.14,,,,,,OFF
66,10,56,81,23.14,1.12,44.05,6.31,101.15,,,,,,OFF
14,33,45,108,23.15,1.58,44.39,4.17,101.16,,,,,,OFF
82,40,52,67,23.52,2.72,42.5,11.54,101.16,,,,,,ON
74,33,35,63,23.9,3.87,40.6,18.9,101.17,,,,,,ON
67,5,47,70,23.98,3.5,40.17,22.08,101.17,,,,,,OFF
86,36,62,44,24.05,3.12,39.74,25.26,101.17,,,,,,ON
11,31,68,107,23.96,3.14,39.74,17.74,101.17,,,,,,OFF
23,25,36,87,23.88,3.16,39.73,10.21,101.17,,,,,,ON
37,42,39,106,23.68,3.08,40.58,11.36,101.18,,,,,,OFF
1,8,48,38,23.49,3,41.43,12.5,101.19,,,,,,OFF
25,41,50,43,23.22,2.84,42.38,11.09,101.2,,,,,,ON
58,7,30,51,22.96,2.67,43.32,9.68,101.21,,,,,,OFF
75,3,55,22,22.83,2.81,44.31,11.5,101.2,,,,,,OFF
81,13,49,51,22.69,2.95,45.3,13.33,101.2,,,,,,OFF
51,34,65,98,22.67,3.04,45.61,16.26,101.2,,,,,,OFF
75,40,30,46,22.65,3.14,45.93,19.2,101.2,,,,,,ON
60,1,25,6,22.65,3.42,45.63,19.05,101.2,,,,,,OFF
34,19,55,70,22.65,3.69,45.33,18.9,101.21,,,,,,OFF
62,36,50,47,22.65,3.97,45.03,18.75,101.21,,,,,,ON
54,6,28,24,22.62,3.87,44.73,16.6,101.22,,,,,,ON
78,2,65,71,22.6,3.77,44.43,14.46,101.23,,,,,,ON
38,26,59,16,22.56,3.76,44.38,15.68,101.24,,,,,,ON
41,14,41,62,22.53,3.74,44.33,16.9,101.25,,,,,,ON
87,21,22,81,22.5,4.41,44.84,17.34,101.26,,,,,,OFF
37,5,61,44,22.47,5.08,45.36,17.78,101.26,,,,,,OFF
54,3,56,20,22.42,4.81,45.66,19.33,101.26,,,,,,OFF
29,7,58,7,22.38,4.54,45.97,20.87,101.27,,,,,,OFF
83,40,28,96,22.32,4.63,46.4,20.52,101.28,,,,,,OFF
70,13,45,84,22.25,4.72,46.83,20.17,101.28,,,,,,ON
90,36,42,102,22.24,5.58,46.88,23.57,101.28,,,,,,OFF
47,26,63,3,22.24,6.44,46.93,26.97,101.28,,,,,,ON
48,41,56,10,22.34,6.24,46.48,28.87,101.28,,,,,,ON
26,30,68,89,22.44,6.05,46.03,30.77,101.28,,,,,,ON
35,15,35,7,22.42,6.48,46.04,30.02,101.28,,,,,,ON
44,7,59,29,22.4,6.91,46.04,29.27,101.28,,,,,,ON
85,24,40,5,22.37,6.16,45.94,27.54,101.28,,,,,,OFF
68,6,42,93,22.34,5.41,45.84,25.81,101.27,,,,,,OFF
13,8,43,3,22.44,5.98,45.63,30.55,101.27,,,,,,OFF
74,9,44,73,22.55,6.56,45.42,35.29,101.27,,,,,,OFF
77,32,43,46,22.64,6.47,44.98,35.03,101.27,,,,,,ON
8,10,70,57,22.72,6.38,44.53,34.78,101.27,,,,,,ON
36,20,59,66,22.73,6.15,44.32,32.2,101.27,,,,,,OFF
30,14,41,29,22.74,5.92,44.12,29.63,101.27,,,,,,ON
48,32,57,10,22.53,5.08,44.39,24.04,101.28,,,,,,ON
3,40,32,57,22.32,4.24,44.66,18.46,101.28,,,,,,ON
13,38,66,3,22.14,4.81,45.19,22.72,101.28,,,,,,ON
74,45,36,87,21.95,5.38,45.72,26.97,101.27,,,,,,ON
60,25,27,21,22.03,5.14,45.4,24.7,101.26,,,,,,OFF
23,34,52,30,22.11,4.9,45.08,22.43,101.26,,,,,,ON
12,30,55,104,22.09,5.7,45.79,26.22,101.26,,,,,,OFF
75,35,30,30,22.07,6.49,46.5,30,101.26,,,,,,OFF
71,28,22,85,21.84,6.41,48.56,32.14,101.26,,,,,,ON
89,40,50,64,21.61,6.33,50.62,34.29,101.27,,,,,,ON
39,27,50,5,21.4,6.46,52.2,30.05,101.27,,,,,,ON
75,41,36,49,21.19,6.58,53.77,25.81,101.27,,,,,,ON
74,32,31,86,21.12,6.53,54.39,28.7,101.26,,,,,,ON
71,32,26,40,21.06,6.48,55.01,31.58,101.25,,,,,,ON
76,44,33,103,21.02,6.32,55.44,32.51,101.24,,,,,,OFF
51,27,68,23,20.98,6.17,55.88,33.44,101.24,,,,,,ON
64,41,42,46,20.94,6.02,56.31,34.36,101.24,,,,,,ON
4,28,64,81,20.9,5.86,56.74,35.29,101.23,,,,,,ON
55,20,68,38,20.82,5.46,57.62,33.86,101.22,,,,,,ON
4,11,65,90,20.73,5.06,58.49,32.43,101.22,,,,,,ON
27,16,32,0,20.62,4.7,59.15,27.43,101.22,,,,,,ON
30,0,61,9,20.5,4.35,59.81,22.43,101.21,,,,,,OFF
23,40,48,37,20.43,4.6,60.26,24.12,101.21,,,,,,ON
87,15,37,17,20.36,4.84,60.72,25.81,101.21,,,,,,OFF
62,6,56,51,20.32,5.18,60.84,26.5,101.2,,,,,,OFF
4,24,53,88,20.28,5.52,60.97,27.19,101.2,,,,,,ON
39,34,28,3,20.24,5.87,61.1,27.88,101.2,,,,,,ON
75,19,47,6,20.2,6.21,61.22,28.57,101.19,,,,,,OFF
32,16,40,96,20.2,6.36,61.31,33.03,101.18,,,,,,OFF
18,25,20,65,20.2,6.52,61.4,37.5,101.18,,,,,,ON
18,32,63,6,20.1,6.34,62.3,33.21,101.18,,,,,,ON
14,9,38,5,20,6.17,63.21,28.92,101.17,,,,,,OFF
75,22,35,38,19.99,7.06,64.26,31.6,101.16,,,,,,OFF
26,1,32,53,19.98,7.96,65.3,34.29,101.16,,,,,,ON
29,14,49,21,19.91,7.66,66.75,36.2,101.16,,,,,,ON
67,8,38,65,19.84,7.37,68.2,38.1,101.15,,,,,,ON
14,23,63,74,19.79,7.6,69.22,36.44,101.15,,,,,,ON
6,25,37,101,19.74,7.82,70.23,34.78,101.14,,,,,,OFF
42,11,28,45,19.7,8.26,71.04,42.39,101.14,,,,,,OFF
50,33,31,55,19.66,8.7,71.85,50,101.13,,,,,,ON
75,25,43,71,19.6,8.84,72.5,50,101.12,,,,,,ON
47,4,33,30,19.53,8.98,73.15,50,101.11,,,,,,ON
4,0,53,55,19.48,8.12,73.66,42.14,101.1,,,,,,ON
80,1,35,11,19.43,7.27,74.17,34.29,101.1,,,,,,OFF
30,3,64,64,19.36,6.92,74.72,33.14,101.1,,,,,,ON
71,38,29,59,19.29,6.57,75.27,32,101.1,,,,,,ON
21,15,23,54,19.28,6.66,75.58,32.98,101.1,,,,,,OFF
56,23,25,40,19.27,6.75,75.9,33.97,101.09,,,,,,OFF
25,17,22,11,19.26,6.85,76.21,34.95,101.09,,,,,,ON
13,26,30,82,19.25,6.94,76.53,35.94,101.08,,,,,,ON
89,20,26,7,19.24,7.03,76.84,36.92,101.08,,,,,,OFF
23,12,60,97,19.1,6.62,77.56,36.37,101.08,,,,,,OFF
50,0,49,44,18.97,6.21,78.29,35.82,101.09,,,,,,OFF
19,10,38,26,18.92,6.53,78.69,37.58,101.1,,,,,,ON
53,9,68,98,18.87,6.85,79.1,39.34,101.1,,,,,,OFF
10,10,22,23,18.92,6.42,78.95,33.96,101.1,,,,,,ON
54,7,26,4,18.96,5.99,78.8,28.57,101.1,,,,,,OFF
46,30,66,35,18.98,6.43,78.76,34.62,101.1,,,,,,ON
31,20,39,19,19.01,6.87,78.73,40.68,101.09,,,,,,ON
54,41,38,41,19.01,6.74,78.79,37,101.09,,,,,,ON
72,12,29,9,19,6.62,78.85,33.33,101.09,,,,,,OFF
57,24,54,74,18.99,7.48,78.85,39.3,101.09,,,,,,ON
63,36,55,58,18.98,8.34,78.86,45.28,101.09,,,,,,ON
48,18,52,73,19.04,8.96,78.51,42.64,101.09,,,,,,OFF
50,19,37,94,19.09,9.58,78.16,40,101.09,,,,,,OFF
67,33,60,44,19.08,8.79,78.1,44,101.1,,,,,,ON
81,44,46,105,19.08,8,78.04,48,101.1,,,,,,OFF
20,18,44,74,19.08,8.03,77.88,46.22,101.1,,,,,,ON
22,31,60,110,19.09,8.06,77.71,44.44,101.1,,,,,,OFF
28,24,47,64,19.06,7,77.7,36.85,101.1,,,,,,ON
46,8,36,106,19.02,5.94,77.7,29.27,101.1,,,,,,OFF
50,17,20,2,18.96,5.96,77.94,31.3,101.11,,,,,,ON
14,34,49,108,18.91,5.97,78.19,33.33,101.12,,,,,,OFF
36,20,55,5,18.92,5.96,78.11,35.42,101.12,,,,,,ON
44,44,40,88,18.93,5.96,78.03,37.5,101.12,,,,,,ON
49,8,38,64,18.95,5.82,77.87,34.97,101.12,,,,,,ON
69,34,27,9,18.97,5.68,77.7,32.43,101.13,,,,,,ON
87,36,55,12,18.97,5.86,77.36,31.03,101.14,,,,,,OFF
88,38,65,5,18.97,6.04,77.01,29.63,101.14,,,,,,OFF
57,9,48,105,19.03,5.08,76.5,27.86,101.15,,,,,,OFF
18,42,41,39,19.09,4.12,75.98,26.09,101.15,,,,,,ON
54,25,65,78,19.08,3.96,75.9,25.95,101.16,,,,,,ON
77,8,22,66,19.06,3.79,75.82,25.81,101.16,,,,,,OFF
2,16,26,17,19.23,3.84,75.12,25.81,101.16,,,,,,ON
19,36,32,103,19.4,3.88,74.43,25.81,101.17,,,,,,OFF
7,42,46,26,19.68,4.14,73.6,27.72,101.18,,,,,,ON
61,40,24,109,19.96,4.4,72.78,29.63,101.18,,,,,,OFF
52,19,27,40,20.63,4.22,70.34,24.98,101.18,,,,,,OFF
43,3,32,1,21.3,4.04,67.89,20.34,101.17,,,,,,OFF
85,32,46,68,21.91,4.01,65.74,22.48,101.17,,,,,,ON
36,40,51,1,22.52,3.98,63.6,24.63,101.18,,,,,,ON
6,16,61,33,23.14,3.95,61.46,26.78,101.18,,,,,,OFF
58,17,28,63,23.75,3.92,59.31,28.92,101.18,,,,,,OFF
50,45,57,36,24.42,4.99,56.04,33.21,101.18,,,,,,ON
77,27,58,104,25.08,6.06,52.77,37.5,101.18,,,,,,OFF
74,10,36,13,25.56,6.63,51.3,35.89,101.19,,,,,,OFF
22,10,53,48,26.05,7.2,49.83,34.29,101.2,,,,,,OFF
56,0,64,72,26.58,6.64,48.63,34.29,101.2,,,,,,OFF
70,15,66,67,27.1,6.07,47.43,34.29,101.21,,,,,,ON
36,26,53,11,27.52,7.04,45.46,35.33,101.22,,,,,,ON
87,36,63,12,27.95,8,43.49,36.36,101.24,,,,,,OFF
45,29,59,57,28.16,8.12,42.15,39.24,101.24,,,,,,ON
68,8,29,94,28.38,8.25,40.81,42.11,101.23,,,,,,OFF
36,8,60,45,28.74,8.44,39.19,40.41,101.24,,,,,,OFF
49,18,58,78,29.09,8.63,37.57,38.71,101.24,,,,,,OFF
40,5,22,84,29.43,9.28,36.71,53.64,101.24,,,,,,OFF
82,18,44,61,29.77,9.92,35.85,68.57,101.24,,,,,,ON
6,2,35,78,30.31,9.19,34.83,55.34,101.24,,,,,,ON
35,14,69,25,30.85,8.46,33.8,42.11,101.25,,,,,,ON
88,10,42,90,31.54,7.42,32.67,41.4,101.26,,,,,,OFF
8,42,30,96,32.24,6.38,31.55,40.68,101.26,,,,,,OFF
85,22,51,7,32.53,8.72,30.45,47,101.26,,,,,,OFF
81,0,42,81,32.83,11.06,29.35,53.33,101.25,,,,,,OFF
45,18,29,3,32.93,11.3,28,56.21,101.25,,,,,,ON
77,45,62,38,33.03,11.55,26.65,59.1,101.25,,,,,,OFF
53,38,41,109,33.13,11.8,25.29,61.98,101.25,,,,,,OFF
43,45,47,22,33.23,12.04,23.94,64.86,101.25,,,,,,ON
24,13,31,107,33.94,10.62,22.83,63.2,101.24,,,,,,OFF
6,45,37,59,34.65,9.2,21.72,61.54,101.24,,,,,,ON
87,38,53,22,34.96,9.39,21.54,59.34,101.24,,,,,,OFF
77,43,56,84,35.27,9.58,21.36,57.14,101.24,,,,,,ON
68,30,64,38,35.42,9.91,21.33,56.48,101.24,,,,,,OFF
71,25,43,9,35.57,10.24,21.3,55.81,101.25,,,,,,OFF
35,10,41,83,35.66,11.13,20.99,62.19,101.25,,,,,,ON
59,18,56,110,35.76,12.02,20.68,68.57,101.25,,,,,,OFF
22,13,48,106,36.65,10.97,19.38,64.28,101.25,,,,,,OFF
75,19,50,91,37.53,9.92,18.07,60,101.25,,,,,,OFF
7,24,29,89,37.1,11.08,17.79,63.34,101.24,,,,,,ON
9,29,55,9,36.67,12.23,17.52,66.67,101.24,,,,,,ON
62,40,34,5,36.98,12.02,17.7,63.34,101.24,,,,,,ON
22,8,45,55,37.29,11.82,17.89,60,101.24,,,,,,OFF
3,15,39,17,37.39,11.58,17.31,64.28,101.24,,,,,,ON
22,40,36,104,37.5,11.34,16.73,68.57,101.24,,,,,,OFF
9,30,34,54,37.67,11.02,16.23,58.77,101.24,,,,,,ON
51,45,44,108,37.85,10.69,15.72,48.98,101.23,,,,,,OFF
56,21,63,108,38.3,10.13,15.45,35.3,101.22,,,,,,OFF
44,44,64,13,38.76,9.57,15.18,21.62,101.21,,,,,,ON
40,8,60,20,38.81,9.96,14.76,31.86,101.21,,,,,,OFF
21,39,30,28,38.86,10.35,14.35,42.11,101.21,,,,,,ON
40,35,46,67,39.56,9.34,13.88,31.58,101.21,,,,,,ON
24,27,43,26,40.26,8.34,13.4,21.05,101.21,,,,,,ON
23,30,22,71,40.01,8.78,13.08,23.29,101.2,,,,,,ON
59,34,37,0,39.76,9.23,12.76,25.53,101.2,,,,,,ON
85,41,66,74,39.84,9.83,12.72,24.42,101.19,,,,,,ON
61,29,39,34,39.92,10.43,12.69,23.3,101.18,,,,,,OFF
37,10,46,106,39.96,10.42,12.72,25.94,101.17,,,,,,OFF
17,33,22,27,39.99,10.42,12.74,28.57,101.16,,,,,,ON
3,36,54,7,40.06,9.18,13.36,24.28,101.16,,,,,,ON
21,27,70,69,40.12,7.95,13.98,20,101.15,,,,,,ON
44,19,58,1,39.7,8.92,13.44,21.65,101.14,,,,,,ON
25,13,70,84,39.29,9.88,12.89,23.3,101.13,,,,,,ON
54,17,42,68,38.47,9.57,13.04,23.19,101.12,,,,,,ON
3,9,54,41,37.65,9.25,13.19,23.08,101.11,,,,,,ON
43,32,62,106,37.16,9.46,13.21,21.88,101.1,,,,,,OFF
16,41,21,16,36.68,9.68,13.23,20.69,101.1,,,,,,ON
44,36,68,75,38.07,9.77,12.18,21.88,101.1,,,,,,ON
81,38,48,6,39.46,9.87,11.14,23.08,101.09,,,,,,OFF
62,7,59,90,39.76,10.09,10.78,32.6,101.08,,,,,,OFF
88,3,21,54,40.07,10.31,10.41,42.11,101.08,,,,,,OFF
67,37,61,62,38.8,9.7,11.24,34.69,101.07,,,,,,ON
80,43,61,104,37.52,9.09,12.08,27.27,101.06,,,,,,OFF
82,14,31,12,37,10.12,12.02,28.45,101.04,,,,,,OFF
78,29,28,16,36.47,11.14,11.96,29.63,101.03,,,,,,OFF
75,17,70,43,36.58,10.58,12.32,38.82,101.02,,,,,,ON
2,19,22,73,36.69,10.03,12.69,48,101.01,,,,,,ON
5,29,31,46,36.99,10.36,12.85,42.46,101,,,,,,ON
38,6,58,53,37.29,10.69,13.01,36.92,101,,,,,,OFF
78,13,60,51,38,8.82,13.41,29.47,100.99,,,,,,OFF
3,9,50,75,38.7,6.96,13.81,22.02,100.98,,,,,,ON
48,21,26,100,38.49,8.43,13.23,26.4,100.97,,,,,,OFF
4,23,21,42,38.28,9.89,12.65,30.77,100.96,,,,,,ON
56,3,60,92,37.97,10.01,12.77,28.57,100.96,,,,,,OFF
40,39,31,79,37.65,10.13,12.89,26.37,100.95,,,,,,ON
2,19,66,18,37.82,9.75,12.97,25.9,100.94,,,,,,ON
29,7,64,94,37.98,9.36,13.04,25.43,100.94,,,,,,OFF
28,28,60,13,38.15,8.98,13.12,24.96,100.94,,,,,,ON
84,9,49,2,38.31,8.6,13.2,24.49,100.93,,,,,,OFF
6,14,41,44,38.68,8.98,12.28,29.14,100.93,,,,,,ON
26,40,67,43,39.05,9.35,11.36,33.8,100.92,,,,,,ON
50,39,55,47,39.07,10.6,12.08,39.97,100.92,,,,,,ON
37,31,30,62,39.09,11.86,12.8,46.15,100.92,,,,,,ON
11,15,26,76,38.94,12.12,15.5,54.66,100.91,,,,,,ON
5,23,31,93,38.79,12.38,18.21,63.16,100.9,,,,,,OFF
13,41,51,106,38.76,11.98,18.55,63.16,100.89,,,,,,OFF
82,8,30,73,38.74,11.59,18.88,63.16,100.88,,,,,,OFF
66,27,35,28,38.48,11.83,18.96,74.44,100.88,,,,,,OFF
37,28,48,14,38.21,12.07,19.04,85.71,100.88,,,,,,ON
75,37,40,97,37.94,12.86,19.76,79.22,100.88,,,,,,OFF
55,11,50,65,37.66,13.65,20.49,72.73,100.89,,,,,,OFF
68,42,40,9,37.22,14.21,21.02,70.65,100.89,,,,,,ON
19,12,52,101,36.78,14.77,21.56,68.57,100.89,,,,,,OFF
45,23,33,91,36.42,13.92,21.19,68.57,100.88,,,,,,OFF
66,7,31,17,36.05,13.07,20.82,68.57,100.87,,,,,,OFF
30,43,26,87,35.81,13.46,20.16,64.28,100.86,,,,,,ON
